date,,China,Japan,Korea,Singapore,Italy,Germany,France,USA,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports
2020/01/21,Tue.,278,1,1,0,0,0,0,0,
2020/01/22,Wed.,309,1,1,0,0,0,0,0,
2020/01/23,Thu.,571,1,1,0,0,0,0,1,
2020/01/24,Fri.,831,1,2,1,0,0,0,1,
2020/01/25,Sat.,1297,3,2,3,0,0,3,2,
2020/01/26,Sun.,1985,3,2,4,0,0,3,2,
2020/01/27,Mon.,2761,4,4,4,0,0,3,5,
2020/01/28,Tue.,4537,6,4,7,0,1,3,5,
2020/01/29,Wed.,5997,7,4,7,0,4,4,5,
2020/01/30,Thu.,7736,11,4,10,0,4,5,5,
2020/01/31,Fri.,9720,14,11,13,0,5,6,6,
2020/02/01,Sat.,11821,17,12,16,0,7,6,7,
2020/02/02,Sun.,14411,20,15,18,0,8,6,8,
2020/02/03,Mon.,17238,20,15,18,0,10,6,11,
2020/02/04,Tue.,20471,20,16,18,2,12,6,11,
2020/02/05,Wed.,24363,23,18,24,2,12,6,11,
2020/02/06,Thu.,28060,25,23,28,2,12,6,12,
2020/02/07,Fri.,31211,25,24,30,3,13,6,12,
2020/02/08,Sat.,34598,25,24,33,3,14,6,12,
2020/02/09,Sun.,37251,26,27,40,3,14,11,12,
2020/02/10,Mon.,40235,26,27,43,3,14,11,12,
2020/02/11,Tue.,42708,26,28,45,3,14,11,13,
2020/02/12,Wed.,44730,28,28,47,3,16,11,13,
2020/02/13,Thu.,46550,29,28,50,3,16,11,14,
2020/02/14,Fri.,48548,33,28,58,3,16,11,15,
2020/02/15,Sat.,50054,41,28,67,3,16,11,15,
2020/02/16,Sun.,51174,53,29,72,3,16,12,15,
2020/02/17,Mon.,70635,59,30,75,3,16,12,15,
2020/02/18,Tue.,72528,65,31,77,3,16,12,15,
2020/02/19,Wed.,74280,73,51,81,3,16,12,15,
2020/02/20,Thu.,74675,85,104,84,3,16,12,15,
2020/02/21,Fri.,75569,93,204,85,3,16,12,15,
2020/02/22,Sat.,76392,105,346,86,9,16,12,35,
2020/02/23,Sun.,77042,132,602,89,76,16,12,35,
2020/02/24,Mon.,77262,144,763,89,124,16,12,35,
2020/02/25,Tue.,77780,157,977,90,229,16,12,53,
2020/02/26,Wed.,78191,164,1261,91,322,18,12,53,
2020/02/27,Thu.,78630,186,1766,93,400,21,18,59,
2020/02/28,Fri.,78961,210,2337,96,650,26,38,59,
2020/02/29,Sat.,79394,230,3150,98,888,57,57,62,
2020/03/01,Sun.,79968,239,3736,102,1128,57,100,62,
2020/03/02,Mon.,80174,254,4212,106,1689,129,100,62,
2020/03/03,Tue.,80304,268,4812,108,2036,157,191,64,
2020/03/04,Wed.,80422,284,5328,110,2502,196,212,108,
2020/03/05,Thu.,80565,317,5766,110,3089,262,282,129,
2020/03/06,Fri.,80671,349,6284,117,3858,534,420,148,
2020/03/07,Sat.,80813,408,6767,130,4636,639,613,213,
2020/03/08,Sun.,80859,455,7134,138,5883,795,706,213,
2020/03/09,Mon.,80904,488,7382,150,7375,1112,1116,213,
2020/03/10,Tue.,80924,514,7513,160,9172,1139,1402,472,
2020/03/11,Wed.,80955,568,7755,166,10149,1296,1774,696,
2020/03/12,Thu.,80981,620,7869,178,12462,1567,2269,987,
2020/03/13,Fri.,80991,675,7979,187,15113,2369,2860,1264,
2020/03/14,Sat.,81021,716,8086,200,17660,3062,3640,1678,
2020/03/15,Sun.,81048,780,8162,212,21157,3795,4469,1678,
2020/03/16,Mon.,81077,814,8236,243,24747,4838,5380,1678,
2020/03/17,Tue.,81116,829,8320,243,27980,6012,6573,3503,
2020/03/18,Wed.,81116,829,8320,266,31506,7156,7652,3536,
2020/03/19,Thu.,81174,873,8413,313,35713,8198,9043,7087,
2020/03/20,Fri.,81300,950,8652,345,41035,10877,10999,10442,
2020/03/21,Sat.,81416,996,8799,385,47021,18323,12475,15219,
2020/03/22,Sun.,81498,1046,8897,432,53578,21463,14296,15219,
2020/03/23,Mon.,81601,1089,8961,455,59138,24774,15821,31573,
2020/03/24,Tue.,81747,1128,9037,507,63927,29212,19615,42164,
2020/03/25,Wed.,81848,1193,9137,558,69176,31554,22025,51914,
2020/03/26,Thu.,81961,1291,9241,631,74386,36508,24920,63570,
2020/03/27,Fri.,82078,1387,9332,683,80539,42288,28786,68334,
2020/03/28,Sat.,82230,1499,9478,732,86498,48582,32542,85228,
2020/03/29,Sun.,82356,1693,9583,802,92472,52547,37145,103321,
2020/03/30,Mon.,82447,1866,9661,844,97689,57298,39642,122653,
2020/03/31,Tue.,82545,1953,9786,879,101739,61913,43977,140640,
2020/04/01,Wed.,82631,2178,9887,926,105792,67366,51477,163199,
2020/04/02,Thu.,82724,2384,9976,1000,110574,73522,56261,187302,
2020/04/03,Fri.,82802,2617,10062,1049,115242,79696,58327,213600,
2020/04/04,Sat.,82875,2920,10156,1114,119827,85778,63536,241703,
2020/04/05,Sun.,82930,3271,10237,1189,124632,91714,67757,273808,
2020/04/06,Mon.,83005,3654,10284,1309,128948,95391,69607,307318,
2020/04/07,Tue.,83071,3906,10331,1375,132547,99225,73488,333811,
2020/04/08,Wed.,83157,4257,10384,1481,135586,103228,77226,363321,
2020/04/09,Thu.,83249,4768,10423,1623,139422,108202,81095,395030,
2020/04/10,Fri.,83305,5347,10450,1910,143626,113525,85351,425889,
2020/04/11,Sat.,83369,6005,10480,2108,147577,117658,89683,461275,
2020/04/12,Sun.,83482,6748,10512,2299,152271,120479,92787,492881,
2020/04/13,Mon.,83597,7255,10537,2532,156363,123016,94382,524514,
2020/04/14,Tue.,83696,7645,10564,2918,159516,125098,97050,553822,
2020/04/15,Wed.,83745,8100,10591,3252,162488,127584,102533,578268,
2020/04/16,Thu.,83797,8582,10613,3699,165155,130450,105155,604070,
2020/04/17,Fri.,84149,9167,10635,4427,168941,133830,107778,632781,
2020/04/18,Sat.,84180,9795,10653,5050,172434,137439,108163,665330,
2020/04/19,Sun.,84201,10361,10661,5573,175925,139897,110721,695353,
2020/04/20,Mon.,84237,10751,10674,6588,178972,141672,111463,723605,
2020/04/21,Tue.,84250,11118,10683,8014,181228,143457,113513,751273,
2020/04/22,Wed.,84287,11496,10694,9125,183957,145694,116151,776907,
2020/04/23,Thu.,84302,11919,10702,10141,187327,148046,117961,800926,
2020/04/24,Fri.,84311,12388,10708,11178,189973,150383,119583,830053,
2020/04/25,Sat.,84325,12829,10718,12075,192994,152438,121338,860772,
2020/04/26,Sun.,84338,13182,10728,12693,195351,154175,122875,899281,
2020/04/27,Mon.,84341,13385,10738,13624,197675,155193,123279,931698,
2020/04/28,Tue.,84347,13576,10752,14423,199414,156337,127008,960916,
2020/04/29,Wed.,84369,13852,10761,15222,201505,157641,125464,983457,
2020/04/30,Thu.,84373,14088,10765,15641,203591,159119,127066,1003974,
2020/05/01,Fri.,84385,14281,10774,16169,205463,159119,128121,1035353,
2020/05/02,Sat.,84388,14545,10780,17101,207428,161703,128722,1067127,
2020/05/03,Sun.,84393,14839,10793,17548,209328,162496,129458,1093880,
2020/05/04,Mon.,84400,15057,10801,18205,210717,163175,129708,1125719,
2020/05/05,Tue.,84404,15231,10804,18778,211938,163860,130242,1154985,
2020/05/06,Wed.,84406,15354,10806,19410,213013,164897,131292,1171185,
2020/05/07,Thu.,84409,15463,10810,20198,214457,166091,135468,1193452,
2020/05/08,Fri.,84415,15547,10822,20939,215858,167300,135980,1215571,
2020/05/09,Sat.,84416,15628,10840,21707,217185,168551,136578,1245874,
2020/05/10,Sun.,84430,15747,10874,22460,218268,169218,137008,1245775,
2020/05/11,Sun.,84450,15798,10909,23336,219070,169575,137073,1271645,
2020/05/12,Mon.,84451,15874,10936,23822,219814,170508,137491,1298287,
2020/05/13,Tue.,84458,16024,10962,24671,221126,171306,138161,1322054,
2020/05/14,Wed.,84464,16079,10991,25346,222104,172239,138609,1340098,
2020/05/15,Thu.,84469,16193,11018,26098,223096,173152,139152,1361522,
2020/05/16,Fri.,84478,16237,11037,26891,223885,173772,139646,1382362,
2020/05/17,Sat.,84484,16285,11050,27356,224760,174355,140008,1409452,
2020/05/18,Sun.,84494,16305,11065,28038,225435,174697,140036,1432265,
2020/05/19,Mon.,84500,16365,11078,28343,225886,175210,140497,1477516,
2020/05/20,Tue.,84505,16385,11110,28794,226699,176007,140959,1477459,
2020/05/21,Wed.,84507,16424,11122,29364,227364,176752,141312,1501876,
2020/05/22,Thu.,84520,16513,11142,29812,228006,177212,141590,1525186,
2020/05/23,Fri.,84522,16536,11165,30426,228658,177850,141949,1547973,
2020/05/24,Sat.,84525,16550,11190,31068,229327,178281,142173,1568448,
2020/05/25,Sun.,84536,16581,11206,31616,229858,178570,142204,1592599,
2020/05/26,Mon.,84543,16623,11225,31960,230158,179002,142482,1618757,
2020/05/27,Tue.,84544,16651,11265,32343,230555,179364,142704,1634010,
2020/05/28,Wed.,84547,16683,11344,32876,231139,179717,142852,1658896,
2020/05/29,Thu.,84547,16719,11402,33249,231732,180458,146122,1675258,
2020/05/30,Fri.,84565,16804,11441,33860,232248,181196,146657,1694864,
2020/05/31,Sat.,84570,16851,11468,34366,232664,181482,148436,1716078,
2020/06/01,Sun.,84588,16884,11503,34884,233019,181815,148524,1734040,
2020/06/02,Mon.,84597,16930,11541,35292,233197,182028,148775,1783638,
2020/06/03,Tue.,84602,16986,11590,35836,233515,182370,147935,1798330,
2020/06/04,Wed.,84603,17018,11629,36405,233836,182764,148263,1823220,
2020/06/05,Thu.,84614,17064,11668,36922,234013,183271,148941,1837803,
2020/06/06,Fri.,84620,17103,11719,37183,234531,183678,149495,1857872,
2020/06/07,Sat.,84629,17141,11776,37527,234801,183979,150022,1886794,
2020/06/08,Sun.,84634,17174,11814,37910,234998,184193,150315,1915712,
2020/06/09,Mon.,84638,17210,11852,38296,235278,184543,150413,1933560,
2020/06/10,Tue.,84641,17251,11902,38514,235561,184861,150748,1951096,
2020/06/11,Wed.,84652,17292,11947,38965,235763,185416,151145,1968331,
2020/06/12,Thu.,84659,17332,12003,39387,236142,185674,151503,1988646,
2020/06/13,Fri.,84671,17382,12051,39850,236305,186022,152067,2010391,
2020/06/14,Sat.,84729,17429,12085,40197,236651,186269,152460,2032524,
2020/06/15,Sun.,84778,17502,12121,40604,236989,186461,152767,2057838,
2020/06/16,Mon.,84823,17587,12155,40818,237290,186839,152819,2079592,
2020/06/17,Tue.,84867,17628,12198,40969,237500,187184,153045,2098106,
2020/06/18,Wed.,84903,17668,12257,41216,237828,187764,153356,2126027,
2020/06/19,Thu.,84940,17740,12306,41473,238159,187764,153557,2149166,
2020/06/20,Fri.,84970,17799,12373,41615,238011,189135,154141,2172212,
2020/06/21,Sat.,84997,17864,12421,41833,238275,189822,154562,2208829,
2020/06/22,Sun.,85018,17916,12438,42095,238499,190359,154567,2241178,
2020/06/23,Mon.,85070,17968,12484,42318,238720,190862,154892,2268753,
2020/06/24,Tue.,85098,18024,12535,42432,238833,191449,155256,2295272,
2020/06/25,Wed.,85119,18110,12563,42623,239410,192079,155087,2329463,
2020/06/26,Thu.,85148,18197,12602,42736,239706,192556,155087,2367064,
2020/06/27,Fri.,85172,18297,12653,42955,239961,193243,156156,2407590,
2020/06/28,Sat.,85190,18390,12715,43246,240136,193499,156156,2452048,
2020/06/29,Sun.,85204,18476,12757,43459,240310,193761,156156,2496628,
2020/06/30,Mon.,85227,18593,12800,43661,240436,194259,156930,2537636,
2020/07/01,Tue.,85232,18723,12850,43907,240578,194725,157194,2573393,
2020/07/02,Wed.,85263,18874,12904,44122,240760,194725,157806,2616949,
2020/07/03,Thu.,85278,19068,12967,44310,240961,195674,158286,2671220,
2020/07/04,Fri.,85287,19282,13030,44479,241184,196096,158734,2724433,
2020/07/05,Sat.,85306,19522,13091,44664,241419,196335,158734,2776366,
2020/07/06,Sun.,85320,19775,13137,44800,241611,196554,158734,2833552,
2020/07/07,Mon.,85345,19981,13181,44983,241819,196944,159568,2877238,
2020/07/08,Tue.,85366,20174,13244,45140,241956,197341,159909,2923432,
2020/07/09,Wed.,85399,20371,13293,45298,242149,197783,160279,2973695,
2020/07/10,Thu.,85445,20719,13338,45423,242363,198178,160783,3038325,
2020/07/11,Fri.,85487,21129,13373,45614,242639,198556,161275,3097300,
2020/07/12,Sat.,85522,21502,13417,45783,242827,198804,161275,3163581,
2020/07/13,Sun.,85568,21868,13479,45961,243061,198963,161275,3225950,
2020/07/14,Mon.,85623,22220,13512,46283,243230,198963,162390,3286063,
2020/07/15,Tue.,85677,22508,13551,46630,243344,199726,162390,3344783,
2020/07/16,Wed.,85697,22890,13612,46879,243506,200260,163157,3405494,
2020/07/17,Thu.,85775,23473,13672,47127,243736,200843,163550,3472659,
2020/07/18,Fri.,85857,24132,13711,47454,243967,201372,164247,3544143,
2020/07/19,Sat.,85937,24642,13745,47656,244216,201574,164247,3544143,
2020/07/20,Sun.,86068,25096,13771,47913,244434,201823,164247,3685460,
2020/07/21,Mon.,86152,25736,13816,48036,244624,202345,166057,3748248,
2020/07/22,Tue.,86226,26303,13879,48434,244752,202799,166511,3805524,
2020/07/23,Wed.,86361,27029,13938,48744,245032,203368,167456,3868453,
2020/07/24,Thu.,86500,27956,13979,49098,245338,204183,168291,3938094,
2020/07/25,Fri.,86660,28786,14092,49375,245590,204964,169222,4009808,
2020/07/26,Sat.,86839,29382,14150,49888,245864,205269,169222,4009808,
2020/07/27,Sun.,87028,29989,14175,50369,246118,205609,169222,4148011,
2020/07/28,Mon.,87245,30961,14203,50838,246286,206242,171476,4209509,
2020/07/29,Tue.,87457,31901,14251,51197,246488,206926,172148,4263531,
2020/07/30,Wed.,87680,33049,14269,51531,246776,206926,173455,4323160,
2020/07/31,Thu.,87956,34372,14305,51809,247158,207828,174648,4388566,
2020/08/01,Fri.,88122,35836,14336,52205,247537,209653,175920,4456389,
2020/08/02,Sat.,88302,36689,14366,52512,247832,209893,175920,4523888,
2020/08/03,Sun.,88460,38687,14389,52825,248070,210402,175920,4582276,
2020/08/04,Mon.,88574,39858,14423,53051,248229,211281,179072,4629459,
2020/08/05,Tue.,88682,41129,14456,53346,248419,212022,180037,4678610,
2020/08/06,Wed.,88804,42263,14499,54254,248803,213067,181652,4728239,
2020/08/07,Thu.,88937,43815,14519,54555,249204,214214,183172,4781612,
2020/08/08,Fri.,89057,45439,14562,54797,249756,215336,185353,4836930,
2020/08/09,Sat.,89151,46782,14598,54929,250103,215891,185353,4897958,
2020/08/10,Sun.,89270,47990,14626,55104,250566,216327,185353,4951851,
2020/08/11,Mon.,89383,48928,14660,55292,250825,217293,189972,4999815,
2020/08/12,Tue.,89444,50210,14714,55353,251237,218519,191265,5039709,
2020/08/13,Wed.,89526,51147,14770,55395,251713,219964,193694,5094500,
2020/08/14,Thu.,89625,52217,14873,55497,252235,221413,196209,5150407,
2020/08/15,Fri.,89695,53577,15039,55580,252809,222828,198876,5203206,
2020/08/16,Sat.,89761,54714,15318,55661,253438,223453,202118,5258565,
2020/08/17,Sun.,89859,55667,15515,55747,253915,224014,205006,5312940,
2020/08/18,Mon.,,,,,,,,,
2020/08/19,Tue.,,,,,,,,,
2020/08/20,Wed.,,,,,,,,,
2020/08/21,Thu.,,,,,,,,,
2020/08/22,Fri.,,,,,,,,,
2020/08/23,Sat.,,,,,,,,,
2020/08/24,Sun.,,,,,,,,,
2020/08/25,Mon.,,,,,,,,,
2020/08/26,Tue.,,,,,,,,,
2020/08/27,Wed.,,,,,,,,,
